	Charlotte_NC	Chicago_IL	Indianapolis_IN	Baltimore_MD	Miami_FL	Washington_DC	New_York_NY	Atlanta_GA	Houston_TX	Los_Angeles_CA	Seattle_WA	New_Orleans_LA	Cleveland_OH	Denver_CO	Philadelphia_PA	Nashville_TN	Boston_MA	Las_Vegas_NV	San_Francisco_CA	Detroit_MI
2020-01-01	6655	28963	4590	7114	9738	17140	25428	23499	26094	47285	15499	6692	5812	7783	12602	7885	12255	11951	10972	6403
2020-01-02	6575	28560	4803	7683	9018	20805	27049	24788	24207	44736	13862	6735	5451	7108	13446	7536	13161	10352	10881	6439
2020-01-03	8579	36255	6427	9686	12174	29648	34084	31980	31490	54535	17809	8912	6964	9990	17060	9533	15970	13367	13299	8127
2020-01-04	6921	28840	4845	7762	9456	19111	25544	24359	26921	45522	14680	7109	5716	7637	14378	7598	12915	11446	10779	6189
2020-01-05	8465	32368	5974	9884	10871	21939	29255	28658	30738	49855	17316	11755	7148	8999	17992	10126	17025	12686	12021	7122
2020-01-06	7520	32892	5673	9282	10662	25866	33618	27498	27489	53541	17501	7756	6299	8561	17638	8125	15205	12167	12122	7211
2020-01-07	8332	34431	5590	9451	10778	27405	33018	27650	28141	52604	17811	7858	7031	8975	16052	8681	15351	12063	13626	7179
2020-01-08	8650	36583	6302	9641	11326	30732	34317	28686	29120	55266	18998	7634	6662	9876	16720	9014	16233	12792	13776	7678
2020-01-09	8715	36401	6348	9537	12087	27117	34599	30181	30531	55623	18860	7965	6920	9651	17037	8749	16404	12935	14238	7743
2020-01-10	8384	36217	5826	9441	11624	27174	33019	29508	31237	56486	18803	8355	7058	9240	17549	8854	16490	13362	13660	7726
2020-01-11	7195	30622	5372	7868	10308	19756	27347	26316	28108	48854	15755	7347	6363	7827	13575	8253	13197	11859	11846	6930
2020-01-12	8417	31617	5938	13017	11181	19225	27617	27835	33853	48192	16944	8277	7912	8496	15278	10816	14462	12360	11728	7041
2020-01-13	8593	35351	5672	9514	11104	25793	33750	28851	31539	54851	21666	8349	7173	8807	16128	8907	15907	12714	12928	7691
2020-01-14	10287	37612	6541	10111	12142	28803	35248	32756	32304	57721	20229	10241	7789	10034	18032	10157	17323	13106	14323	7978
2020-01-15	10084	39819	6501	10555	12240	32866	37887	31633	31901	59533	20989	8686	7776	10672	19175	9724	18485	14900	15582	8072
2020-01-16	9051	38732	6281	9920	12688	29428	37088	31061	32683	60603	20219	8569	7883	10451	18386	9485	17956	13797	15604	7739
2020-01-17	8416	37756	6312	9743	11879	26749	34376	29710	31641	59212	19398	8603	7522	10191	17591	9017	17437	13428	14637	7735
2020-01-18	6811	31574	5474	8397	9828	19883	26632	25252	26388	48869	16371	7233	6586	7999	14784	7667	12917	12020	11875	7360
2020-01-19	7324	31139	5420	9145	10090	18576	27122	26350	27484	47894	15071	7632	6776	8061	15141	9731	13624	12739	10922	7434
2020-01-20	7674	34798	5675	9444	11020	22034	30444	27866	28810	52515	16892	8204	7430	8992	16734	8739	14785	12441	13465	7715
2020-01-21	8616	37482	6138	10290	12417	28237	35016	30523	30984	55932	18323	8065	7417	10461	17860	8940	17233	13071	13873	8075
2020-01-22	8965	38618	6236	10516	13153	30395	36366	31475	32086	62183	19751	8471	7726	10568	18112	9683	17620	13971	15006	8190
2020-01-23	9306	39352	5983	10212	12587	29414	36225	31468	31704	58270	21576	9082	7328	10095	18210	9798	17216	13920	15542	8665
2020-01-24	8940	39079	6286	9657	12000	29402	35719	30977	32027	59380	20730	8348	7252	9994	18085	9803	17043	13729	15509	8369
2020-01-25	7505	33110	5289	7959	9997	22116	29489	25826	27086	50847	17739	7301	6022	8528	14994	8242	14500	12527	12207	7260
2020-01-26	9161	38467	6398	10334	13307	22864	33909	33363	34882	66891	17432	9065	8210	9218	19752	9232	16333	15710	13188	9375
2020-01-27	8282	38508	5618	9650	11162	27700	35035	30086	29139	57725	17636	8049	7130	9578	17600	9105	16677	13115	13384	8020
2020-01-28	8940	39350	6083	10032	12793	31322	35966	31342	32055	58923	19790	8695	7715	10720	18545	9632	18146	13585	15497	8504
2020-01-29	8992	40871	6449	10551	12781	30893	36236	32570	32130	60273	20212	8963	7584	11390	18672	10039	18249	14186	16077	8814
2020-01-30	9057	41381	6589	10766	12790	30909	36845	32761	32517	60228	21003	8822	7765	11267	19105	10062	18059	14112	16032	8969
2020-01-31	10196	43535	6509	10910	13516	33352	40009	33670	34223	65907	22480	9436	8441	12269	20435	11247	19288	15021	16783	9127
2020-02-01	7916	35992	6003	9097	12023	22757	32693	28558	28368	59028	18263	8381	7324	9825	16873	9040	15346	13631	14055	7504
2020-02-02	7696	33836	5827	9509	11302	21416	30833	26984	27659	53515	17258	8266	6713	8916	17134	8280	15615	12726	13238	7249
2020-02-03	10897	44730	7557	12356	15910	31849	41446	36879	37472	68526	21956	10619	9332	12667	22562	11557	21650	16398	17625	9611
2020-02-04	9615	44678	7032	11036	13532	37013	41711	34336	34304	65277	21522	9800	8317	12358	22609	11100	20152	14873	17201	9950
2020-02-05	11279	48850	8217	12686	15841	42693	45957	39132	40579	74075	23644	11905	9513	14254	25566	12239	23539	16868	18356	10900
2020-02-06	11417	45652	7383	11737	15340	33364	42717	38400	36344	68206	21200	9767	9185	12265	22223	11241	20716	15866	16937	10500
2020-02-07	10017	41872	6501	11027	13157	30842	38762	34722	34545	63675	19867	9716	8211	12042	20689	10369	18795	15221	15912	9254
2020-02-08	9471	37967	6585	9489	11497	27194	33412	32684	29770	58854	19222	8376	7802	10630	17852	9126	16749	14696	14567	8626
2020-02-09	8810	35198	5800	9338	11328	21760	31777	29238	28743	55888	16460	7711	6993	9396	17235	8036	15186	14505	12549	8447
2020-02-10	9514	43674	6407	11536	13393	31758	43162	35051	34786	72176	19047	9350	8366	10660	21248	10083	19115	14749	15228	9360
2020-02-11	10022	43596	6812	12012	14068	33625	40387	37169	36283	66622	21077	9828	8372	11613	21710	10187	19897	15182	16650	9982
2020-02-12	10235	46929	6891	11885	14692	35855	43554	36732	36957	69176	22715	10636	9020	13400	23529	11055	20690	16440	17584	9837
2020-02-13	10182	44981	7012	12046	14063	33938	42789	36212	36405	68430	21304	10204	8728	12877	21728	10853	19719	16546	17160	9965
2020-02-14	9666	43026	7095	11873	14520	31292	40811	33969	36308	67914	21628	9938	8281	12457	21205	10449	19650	16231	16961	9132
2020-02-15	8041	33237	5304	8725	10744	20850	30134	26844	29969	53326	17255	7940	6849	9063	15450	8381	14460	13986	12908	7369
2020-02-16	8251	34634	5597	9325	12496	20141	30947	28643	29903	52972	16550	7914	6730	9137	16531	8543	14324	14405	12093	8481
2020-02-17	9319	40763	6351	10771	13008	22982	34971	35436	34060	58515	17961	9126	7971	10346	19442	9551	15484	14477	13368	9519
2020-02-18	10400	42558	6679	11784	13565	30091	39755	37933	35770	64130	20147	10045	8611	11309	20386	10525	18959	16097	15750	10446
2020-02-19	10590	46766	7341	12676	15322	32540	43194	40340	39705	71644	21483	10688	8769	12394	22880	10679	19981	17062	17021	10688
2020-02-20	11452	50020	7142	13384	14949	43128	49831	41320	38573	76326	24464	10878	9249	13922	24031	11707	22238	18319	19330	10811
2020-02-21	10322	44987	6436	12481	14096	32280	41761	37391	37080	70471	21789	9887	8455	12484	22015	10134	19072	17321	16919	10318
2020-02-22	8691	38946	5693	10216	12042	24915	34689	32845	31201	61973	18532	8165	7817	10414	18506	8688	15798	16435	14341	9023
2020-02-23	9035	39600	6547	10837	12206	25106	37140	33404	32096	61978	19295	9293	7784	11069	20455	8979	16998	16909	14661	9158
2020-02-24	9643	43695	6986	11346	13934	30544	41107	36970	34534	65175	19362	9467	7927	11525	20843	9582	18303	16461	15863	10062
2020-02-25	10556	46061	7089	11755	15059	33612	44540	38076	37522	69433	21984	8793	8837	12244	22291	10756	19702	15772	16946	10391
2020-02-26	11147	49472	7676	13134	15214	41557	48672	40183	38388	75387	24035	10997	8706	13195	24587	11408	21884	16852	18609	10801
2020-02-27	10528	46765	6981	13047	15072	33923	43823	38505	37942	71544	22643	10445	8754	12326	23979	10792	20880	16494	17080	10737
2020-02-28	10418	46667	7723	12427	14895	33507	42769	37897	37734	70761	22876	10673	8652	12070	22580	10331	20673	16318	17626	10282
2020-02-29	8767	39846	6351	10085	12435	26146	35514	32598	31979	62868	21157	9813	7643	10894	19873	9268	17727	15461	14860	8781
2020-03-01	8814	38712	6409	10817	12490	26087	37490	33791	32706	62395	20510	9592	7565	10721	21443	9036	17689	15079	14657	9244
2020-03-02	10234	45156	7001	12437	13982	33639	44997	38405	36406	69229	23695	11512	8496	12207	22620	9735	20007	16213	16963	9799
2020-03-03	11217	48778	7346	12729	15281	38699	49097	41135	40857	75577	26832	11635	8970	13902	24852	16726	22437	16874	19093	10405
2020-03-04	12887	55300	8174	13383	16742	46138	56002	43939	42949	88072	30218	12479	10291	15836	27454	12436	25969	18689	21876	10996
2020-03-05	11567	52348	7695	13023	16217	39427	51035	42905	40828	80384	29043	12117	9694	14276	26576	11577	23867	17948	20277	11403
2020-03-06	11217	50787	7425	13518	15700	36863	48586	42110	40485	77571	27409	11968	9682	13791	25881	11411	22244	17820	20028	11265
2020-03-07	9728	40589	6954	10878	12964	26362	37359	33812	33891	65844	23728	9881	8184	10949	19892	9549	18067	16089	16961	9176
2020-03-08	9746	40203	6628	11192	12940	26607	38620	35139	33529	67206	22943	9580	7629	10809	20797	9446	18177	16302	15643	9571
2020-03-09	10016	46984	6964	11948	14313	34922	44982	39789	36322	68368	24016	10599	8943	12998	22765	10237	20751	16255	17491	10096
2020-03-10	11287	50284	7209	13054	15756	38736	48440	41775	39746	79088	27580	11647	9563	14171	24535	11410	23737	18014	19801	11838
2020-03-11	12506	58077	8690	14511	17004	44870	57136	45699	46717	86745	32016	13551	10727	16198	28253	12809	27684	18985	23365	13322
2020-03-12	15406	64359	10482	16594	20981	50453	61772	53794	51294	100902	33832	15078	12622	18503	31797	15268	30144	23828	25591	14059
2020-03-13	13025	58204	9005	14322	18166	45958	58221	48252	46489	93874	32471	14341	10770	17001	28869	14224	27997	22276	23765	13360
2020-03-14	10270	47421	7055	11244	14571	32974	45908	39598	38070	80499	26138	11419	9166	13410	23287	11319	22606	18798	21036	10879
2020-03-15	10828	50949	7262	12922	14291	35112	51491	40066	38052	79960	26797	12208	10636	14071	23777	12500	24232	18601	20808	10875
2020-03-16	13661	60737	9666	16889	18043	48407	62624	50322	53648	99428	33520	14846	12606	17575	30839	14901	28657	22209	24910	14067
2020-03-17	15820	62381	9772	15859	20349	47086	60907	52428	51675	98248	30995	16156	12517	17572	31294	14990	32095	22750	25235	14442
2020-03-18	14705	64643	9699	16457	19411	48690	59236	52676	49514	100392	32534	15673	11793	17770	30367	15062	30118	24323	25941	14383
2020-03-19	14044	62299	9786	16822	20238	47989	58175	52694	49435	97487	31413	15995	11929	17265	30207	14384	29066	22740	24366	15052
2020-03-20	14358	65172	9733	16965	20094	49873	61368	54825	51164	107467	32396	15929	11776	17929	30555	15607	29245	23620	26001	14213
2020-03-21	11855	56906	8653	14450	18413	39188	52627	47873	46348	92443	28431	15212	10781	15497	27062	13330	25336	21926	21951	12925
2020-03-22	12020	58011	8692	14978	18801	40055	54029	47818	45634	91350	28040	15620	10614	14756	27998	13639	24909	21277	22690	12608
2020-03-23	14365	62114	9429	17318	20015	48308	59953	55941	50349	97819	30125	16330	11868	17150	30320	14258	28445	23189	23162	13692
2020-03-24	15174	64172	9744	17205	21176	49211	60916	56082	53326	99326	33380	16015	12510	17372	30712	15445	28318	23492	24160	14112
2020-03-25	14583	62939	9322	17302	20950	48570	61271	54945	53402	101465	31924	16221	12072	17626	30905	14453	28797	24427	23581	15033
2020-03-26	14799	66181	9517	17223	21609	49199	60502	55916	56055	99835	32048	17200	12300	17975	30300	14889	28415	24387	23754	15508
2020-03-27	14434	65208	9769	17428	22636	47901	62110	57386	55145	101422	32403	17811	12015	17322	30580	14268	28271	24617	23743	16070
2020-03-28	13372	58149	9007	16003	20631	38420	54223	51041	51354	94043	28522	16187	10984	15273	28322	13095	25502	22224	20724	15439
2020-03-29	13540	59050	8963	16813	20869	39084	57424	53827	50020	95179	27876	17804	11199	15037	29338	13597	26837	22240	20965	15003
2020-03-30	14457	65044	9341	20198	22552	46789	61534	58799	55174	99432	29943	17832	12137	15738	32752	14485	28236	23758	22388	15729
2020-03-31	14511	64589	10001	19035	21403	48596	61795	56744	53666	100402	30107	16734	12326	16155	31839	13986	28679	22855	23637	15381
2020-04-01	14382	63312	9604	18592	21944	47837	61222	57098	52632	102612	30759	16951	12158	16331	31115	14351	28099	23652	23589	15838
2020-04-02	15002	64194	10100	18918	22040	49430	61841	61342	54575	103359	30360	18362	12964	17917	31308	14822	29536	24081	23623	15841
2020-04-03	14853	64058	9502	19637	22657	47208	62269	57624	55045	104687	31217	17969	11946	17256	31869	15178	28974	23618	22499	15508
2020-04-04	12713	57587	8691	17656	20541	38979	54338	54552	52110	97604	28090	17816	10689	15403	28595	13687	25289	22911	21560	14454
2020-04-05	13609	60107	8787	18968	21355	39800	56329	60610	53806	96228	27634	18876	11056	14301	28063	13182	25337	22155	20421	16798
2020-04-06	14569	63314	9784	19650	22175	46057	59296	59743	55109	100043	28761	18597	12453	15680	30674	14065	27050	23306	22308	15462
2020-04-07	14896	65614	9981	19200	22295	47608	61199	61048	56545	101041	29691	18970	12547	16026	30297	14188	26823	23838	23516	16356
2020-04-08	15796	70677	10160	20055	23037	51607	66005	63424	58031	110327	33751	18751	13339	18410	33947	15513	29556	25544	25478	17416
2020-04-09	15236	65198	10430	19746	22363	46201	60952	59657	55428	101246	30041	17190	12229	16274	30987	14440	28154	24287	22755	16976
2020-04-10	14380	62272	9743	19127	21297	43190	58096	56556	52801	100412	29212	17030	11768	15736	30993	13606	26524	23143	23023	15458
2020-04-11	12492	56321	9039	16367	19602	34769	50917	51253	48755	91150	25178	14790	10572	13665	28883	12448	23195	21421	19946	14392
2020-04-12	13130	57795	8799	16317	20316	35221	53220	53662	48778	91731	25075	15793	10757	13718	28379	12818	23866	21356	19683	14728
2020-04-13	15814	64936	9414	18843	23056	45826	61928	62149	54491	100740	28590	16825	12311	16234	32076	14562	27144	22594	22498	15828
2020-04-14	15574	66158	9933	18585	22886	45934	60238	58414	54687	102087	29701	16955	12262	17383	31447	15020	28116	23993	22994	17391
2020-04-15	15520	66350	9975	19090	23008	46675	60103	58088	55565	105229	29697	17572	13603	16917	30920	15065	27903	24189	23629	18298
